Company,cik_number,sic,AU,Number_of_new_accounts,Sales Cycle,qualified-leads,Percentage Conversion,CAC,Penetration rate,Net Promoter Score,Revenue rate,churn rate,Growth revenue rate,arpa,acv,ltv,CAC Payback,LTV/CAC,sentiment
30DC INC,0001065949,12-000108,268,14,104,16.27060388,17.91461156,362.088998,41.27885008,14,16.27804138,6.079235921,28.8766642,31.21787919,18421.46925,225.4744723,11,0.622704566,negative
30DC INC,0001065949,13-000095,207,14,63,12.37675407,15.41702013,419.052137,10.07033383,2,31.60540221,5.429474198,24.80934074,23.0771783,11948.69731,186.849543,7,0.445886148,positive
30DC INC,0001065949,13-000134,186,15,68,15.36571862,72.04093681,377.2630406,28.03829526,29,36.85563676,3.845113469,39.70033649,39.07721549,14421.59317,582.8599544,4,1.544969667,negative
30DC INC,0001065949,13-000136,211,11,90,15.72246821,51.44205003,416.6298149,12.29457979,33,15.50062757,4.957342822,23.66705448,20.80367077,23730.61037,192.5022526,11,0.462046272,positive
30DC INC,0001065949,14-000009,214,10,106,17.19065729,54.23607992,402.5140805,11.26709778,-7,32.80902269,3.133154332,17.39037213,47.79693631,27450.35868,703.7705875,7,1.748437189,negative
30DC INC,0001065949,14-000129,224,15,84,20.63114857,80.05537589,413.1930665,26.30388771,15,26.39145214,6.800527566,25.78033248,45.25957204,21396.20123,334.5430971,11,0.809653221,positive
30DC INC,0001065949,14-000288,280,11,78,20.89274113,63.56667352,401.7360845,9.104052147,19,38.11882867,3.555912071,41.55188974,43.8385417,14395.80973,530.3568773,7,1.32016241,negative
30DC INC,0001065949,15-000039,162,11,89,17.13104455,45.9752798,320.8035818,53.83938063,-3,35.38091963,5.109307429,40.33823433,49.49531271,13827.33799,437.1793946,10,1.362763446,negative
30DC INC,0001065949,15-000116,284,13,73,15.90396845,69.45623403,320.0447523,72.020166,50,34.1536068,6.071410085,28.36537558,49.90419009,18262.1617,347.7128696,11,1.086450777,positive
30DC INC,0001065949,16-000318,189,15,65,20.97190033,73.26382634,381.9099995,39.25259866,41,22.9502124,6.620126857,17.36619893,36.05754379,28205.28052,274.9857289,11,0.72002757,negative
30DC INC,0001065949,16-000341,212,10,94,19.4261269,81.42666165,381.4990804,9.682768816,31,44.06069535,5.620953856,34.320187,40.1540109,29914.5482,455.0841621,9,1.192884034,negative
30DC INC,0001065949,16-000401,222,15,87,13.37408412,30.52684501,389.3521905,27.27064877,20,43.63008797,4.365362917,29.56854102,30.71163085,18217.48707,406.7980777,9,1.044807471,positive
3D PIONEER SYSTEMS INC,0001493152,21-011278,272,14,108,20.36920069,63.11595937,327.5398182,56.99326728,16,33.58771838,4.236658897,24.33708126,25.99026284,29972.61341,382.1159068,9,1.166624287,negative
3D PIONEER SYSTEMS INC,0001557240,13-000439,190,12,63,13.00316205,53.78694409,400.6390069,69.38414054,-16,17.00659058,6.050150357,21.99247114,33.39346655,14202.94478,339.7512802,8,0.848023468,positive
3D PIONEER SYSTEMS INC,0001557240,14-000156,290,14,80,18.65312553,31.50548546,372.6540056,37.92107875,26,35.68746641,5.236846569,20.61083683,35.52667835,29813.29608,389.7829086,9,1.045964629,negative
3D PIONEER SYSTEMS INC,0001557240,14-000353,283,11,86,17.31725763,76.74584147,341.8604812,81.69901548,-13,17.42231668,6.362854596,41.44318506,36.59745818,20608.42142,238.9456385,12,0.698956597,negative
8X8 INC,0001023731,02-000008,308,12,74,27.23647747,88.40225899,306.4620223,56.8292701,-20,36.46684784,5.201032641,36.41958466,42.27570148,15726.50719,508.1772073,6,1.658206141,negative
8X8 INC,0001023731,03-000002,295,15,96,18.74105031,65.18714861,447.1646272,22.38976882,8,24.6489144,4.819353804,17.25358057,35.48228374,17047.11274,441.9874578,8,0.98842223,negative
8X8 INC,0001023731,04-000017,245,10,94,25.27369378,34.99465477,387.7824464,35.91536899,47,15.17849087,4.098477011,19.22940854,34.46358085,19970.79856,502.0799613,9,1.29474649,positive
8X8 INC,0001023731,05-000016,307,11,83,24.40337268,80.49652185,332.5672346,26.66451988,37,38.6476088,5.716792582,43.52630699,37.60001176,26542.0075,306.7902391,6,0.922490875,positive
8X8 INC,0001023731,06-000017,318,15,68,27.48494641,75.94807942,377.7916766,30.8981085,34,40.62766398,6.53227181,29.01907767,29.67608534,12235.35351,292.7026788,7,0.774772704,positive
8X8 INC,0001023731,07-000014,266,12,76,21.84359373,84.93174174,356.2043021,5.013041404,49,31.36603801,6.867395127,34.13155924,46.50102668,29601.21163,419.0612898,9,1.176463303,positive
8X8 INC,0001023731,08-000008,245,11,87,20.91916328,26.90770888,371.0289787,17.01258774,2,26.93077482,6.335075221,19.32332834,32.96918028,29382.88274,238.4231457,5,0.642599795,positive
8X8 INC,0001023731,19-000037,168,13,64,12.19267483,5.648587546,313.1260365,14.72731801,34,40.59464303,3.402157774,38.23527677,29.55347961,16594.2359,483.262694,5,1.543348805,negative
8X8 INC,0001023731,20-000049,259,13,65,19.03771434,75.47019211,400.6325927,76.03870526,-16,44.43523715,3.356996118,28.07989942,47.938658,15720.33806,748.983369,11,1.869501839,positive
8X8 INC,0001023731,21-000091,204,13,98,20.29245882,39.58008187,387.573241,18.11525454,-7,28.99133108,5.936181281,35.07820432,46.30660218,10210.78908,465.9306804,12,1.202174534,negative
8X8 INC,0001136261,09-000185,181,12,86,15.82464396,56.75313204,369.1173035,46.44080248,25,28.60735823,3.452583184,44.90623252,32.21677778,25600.18603,461.5578828,4,1.250436862,positive
8X8 INC,0001136261,10-000121,221,13,104,14.33867688,1.662731558,415.9441605,18.83068143,-10,25.21309036,5.126836191,30.3205351,31.10405781,29685.73545,396.717893,10,0.953776806,negative
8X8 INC,0001136261,11-000334,187,11,78,16.34657252,41.36909635,306.083332,82.83826345,22,43.31353156,5.476397938,41.13660043,30.92807722,20280.90887,301.1931215,6,0.984023271,negative
8X8 INC,0001136261,12-000328,205,10,75,19.75442704,3.335456184,322.9275194,42.59704466,-13,25.40580581,5.583246205,24.32152487,46.3903311,24595.7749,412.8415541,4,1.278434104,negative
8X8 INC,0001136261,13-000259,154,14,60,17.75916,53.05328668,358.2210505,19.80711991,-2,26.11026545,3.025628638,42.79346719,47.53231811,10900.17063,1060.208027,6,2.959647472,negative
8X8 INC,0001136261,14-000239,301,13,100,25.46746145,83.45955576,419.1909842,49.94214481,42,28.24621875,5.788799,26.78904486,26.61302806,17034.60329,184.3085036,10,0.439676688,negative
8X8 INC,0001136261,15-000166,243,12,100,24.55485885,84.89335364,331.6307009,17.40553298,-1,43.60692258,4.499310816,31.40950106,35.85258926,20313.47972,376.0742211,9,1.134015096,positive
8X8 INC,0001136261,16-000496,251,15,98,25.16409608,55.96857093,391.8576745,65.68971061,14,37.33330723,5.22359121,30.39716133,41.71509,17675.06115,470.1377283,12,1.199766545,negative
8X8 INC,0001136261,17-000117,249,11,68,14.40113257,39.77172224,331.5082357,31.86276979,-18,43.32689159,5.404583895,38.90123182,20.13278358,17783.51138,232.9672833,12,0.70274961,negative
8X8 INC,0001136261,18-000158,249,15,62,25.01775386,83.54184889,361.8388307,77.43417973,35,39.66576073,5.962271095,32.10358436,40.5210388,27123.15301,388.5202387,12,1.073738377,positive
8X8 INC,0000891618,00-004420,155,14,98,17.05507513,32.79459649,381.1024863,29.42010167,-5,40.44955099,4.435337484,44.5451135,44.26358862,11500.25262,416.9686933,7,1.094111711,positive
8X8 INC,0000891618,01-501666,169,13,103,15.12552386,12.7480203,325.6091191,33.34386553,38,25.2721002,3.583704947,17.36084499,37.86858669,20311.65228,439.223403,4,1.348928446,positive
8X8 INC,0001023731,01-500005,212,12,79,12.29997016,75.31238109,375.7568705,9.143927562,1,35.08804562,3.964647547,27.1372238,32.97687335,25533.52009,393.2856676,11,1.046649306,negative
8X8 INC,0001023731,02-000006,286,15,65,17.9361951,38.82550883,367.9840327,56.95060265,39,30.92387507,3.430268092,44.99703843,28.49279898,20470.65969,427.1030861,4,1.160656573,negative
8X8 INC,0001023731,02-000013,209,12,65,20.40124138,10.1134518,425.809992,39.84653073,-15,18.24597701,3.689104139,42.58288943,46.68940676,25361.25949,808.3692274,7,1.898427098,negative
8X8 INC,0001023731,03-000001,157,15,62,15.48760224,88.85042895,446.5774614,9.084684064,25,23.78848969,6.528634005,43.83771688,34.34231321,17367.12856,305.4639231,12,0.684011061,negative
8X8 INC,0001023731,03-000008,196,15,79,17.03792748,1.822802125,443.8632295,12.53781254,25,29.72293372,3.307712694,40.12364485,48.7176205,22035.72889,980.7226807,7,2.209515489,positive
8X8 INC,0001023731,03-000025,212,10,88,18.85431226,69.00795176,381.7100436,27.90480606,35,24.14816034,3.503569452,33.15916287,21.56582765,17746.32272,415.8862229,8,1.089534399,positive
8X8 INC,0001023731,04-000001,252,13,103,16.3491997,43.61410573,330.774337,39.09964271,30,15.13891576,3.950294355,19.48259745,24.17566978,16611.31971,424.6277547,10,1.28373851,negative
8X8 INC,0001023731,04-000032,186,14,102,11.85314626,67.58333355,341.7489962,66.19686322,9,36.71975418,3.117494514,25.16494053,49.7616839,29169.67303,768.9620413,7,2.25007842,negative
8X8 INC,0001023731,04-000047,167,12,86,12.45118837,77.84504707,345.8489271,38.43902824,37,32.49503719,6.155956609,32.12817044,45.04474174,16759.34325,398.6255981,10,1.152600361,positive
8X8 INC,0001023731,05-000004,288,12,73,17.80790872,53.84346434,436.6469181,26.62171647,0,39.24395605,6.449964809,37.7475653,36.08266564,24783.97138,344.8940109,7,0.789869335,negative
8X8 INC,0001023731,05-000029,301,13,68,25.16492505,70.29549504,335.0986448,62.40144723,-2,22.35043305,3.885557804,35.44357438,27.28821806,15941.59069,490.8405483,5,1.464764349,positive
8X8 INC,0001023731,05-000050,260,13,108,19.16842359,50.10997015,411.1309281,11.85100159,40,33.33068978,4.748626468,25.99838274,21.01358177,16406.45664,305.714409,7,0.7435938,negative
8X8 INC,0001023731,06-000004,195,14,91,16.50838458,9.003604797,427.5119568,71.89549186,37,30.52444123,4.76732587,17.44101357,32.26337578,26767.66362,402.3638412,10,0.941175644,negative
8X8 INC,0001023731,06-000028,194,14,60,13.45542421,5.325907077,300.7714597,16.31357027,28,21.12963911,3.253498006,34.92467541,29.65966954,14372.42628,373.1916192,12,1.240781355,negative
8X8 INC,0001023731,06-000043,226,12,100,14.45915814,11.89423399,442.1288276,10.51054193,44,16.02603587,5.222595397,20.93219229,41.41182488,21697.34403,542.4121128,4,1.226819151,positive
8X8 INC,0001023731,07-000002,239,14,81,14.33488019,61.58810084,397.0803494,40.0430652,8,28.56918545,5.497192258,40.31451117,28.85496004,25135.49752,282.0135422,8,0.710217825,negative
8X8 INC,0001023731,07-000018,242,12,95,25.3037768,39.589642,374.2699043,32.82369338,-20,30.26323366,4.829077606,28.66246746,26.42767388,19784.15845,336.6232459,4,0.899413076,positive
8X8 INC,0001023731,07-000024,262,13,62,25.04731629,15.5597907,371.187248,87.31986192,20,44.77978061,3.690428824,38.5930177,38.02193396,23581.9438,629.1663076,10,1.695010567,negative
8X8 INC,0001023731,08-000004,274,10,64,25.81184849,48.10778611,423.0993449,9.288962201,-5,36.93690889,6.9437942,32.76445289,44.63929067,16049.42723,418.9630622,5,0.99022385,positive
8X8 INC,0001023731,08-000011,225,15,74,19.12476772,26.09846067,321.104891,17.51976473,45,22.62091037,4.775842155,16.34874628,45.73802366,29645.62391,426.8101133,8,1.32919219,positive
8X8 INC,0001023731,08-000021,247,14,88,26.32516398,47.00096233,319.8736825,46.94918298,29,40.60947085,3.253426547,39.16853986,32.36778929,22280.23248,625.7393469,6,1.956207657,positive
8X8 INC,0001023731,19-000008,177,10,101,14.89928437,52.62931634,302.0954833,68.77419578,-19,42.92483176,3.046002578,22.06527298,32.42231817,28854.45653,498.6301402,8,1.650571319,positive
8X8 INC,0001023731,19-000079,245,11,69,16.06722154,68.06331905,432.223934,13.93117428,11,25.06491227,5.096776022,16.92274691,34.80934325,12670.71779,357.9381284,11,0.828131208,positive
8X8 INC,0001023731,19-000146,203,13,107,17.4330738,50.19081112,307.6304189,72.71365534,-15,17.8765515,5.459099226,18.39429528,44.10042497,12092.3192,485.8859867,11,1.579447144,negative
8X8 INC,0001023731,20-000020,306,10,72,32.06445219,69.30859804,382.5195698,63.94863239,-15,30.09047709,4.369118071,29.71010129,35.15269766,19444.81624,550.0015692,5,1.437839035,positive
8X8 INC,0001023731,20-000106,289,13,93,23.75046057,62.2811441,410.8859742,78.70176621,32,44.04143122,3.149246047,39.81196859,26.83451839,17447.46735,544.0673117,9,1.324132109,positive
8X8 INC,0001023731,20-000179,304,15,84,17.19412369,9.779520942,346.1499656,38.1797321,29,35.33114056,5.305653532,20.71408627,23.81059909,26948.48894,232.2765297,6,0.671028608,negative
8X8 INC,0001023731,21-000035,170,12,63,10.8268478,30.97172662,381.1680249,25.58881007,21,28.65024114,6.864233069,19.2464284,47.57390726,23722.00027,347.7234959,6,0.912257779,negative
8X8 INC,0001023731,21-000161,197,12,95,21.33738566,15.62816255,336.7345612,38.83134539,13,37.91755053,5.418781629,38.63135667,36.39719623,15215.53972,333.5130723,10,0.99043315,positive
8X8 INC,0001023731,21-000243,221,13,98,20.91898912,76.45444624,406.1859615,92.97783208,17,30.15268358,3.446492769,38.71459835,41.53319792,28480.03466,598.5546282,8,1.473597527,positive
8X8 INC,0001023731,22-000034,232,12,106,17.04383908,12.08556162,324.8576501,18.46217738,6,20.29951258,6.432543927,15.68070227,27.91236555,28314.99594,231.178225,8,0.711629309,negative
8X8 INC,0001136261,02-000014,274,11,103,16.41964002,62.89390174,373.7356997,23.58927577,35,21.36365218,6.249004449,42.33574056,29.17526511,26058.02055,302.3183687,6,0.808909529,negative
8X8 INC,0001136261,09-000061,220,14,88,15.93846292,60.40130214,409.4495191,54.00790367,9,39.54664443,5.159465496,17.8401902,21.89011144,11814.86331,174.1104614,9,0.425230592,negative
8X8 INC,0001136261,09-000228,228,15,95,22.30502574,51.83491456,350.4581133,46.85056887,-20,30.09393778,6.884730554,16.2599464,49.12168469,15728.30057,289.0779958,11,0.824857479,positive
8X8 INC,0001136261,09-000323,257,15,69,27.93873319,29.21235997,352.8380424,27.00585646,11,17.64155039,6.000777253,30.99964584,41.29696538,27281.81594,327.4914918,12,0.928163782,positive
8X8 INC,0001136261,10-000039,259,11,66,23.3812709,13.30852675,412.2084307,68.52114487,31,18.83626684,6.383373977,29.59981657,22.83635939,15331.56226,148.6315071,9,0.360573671,positive
8X8 INC,0001136261,10-000178,255,14,95,14.33914447,31.50599968,338.9221549,78.16798126,7,40.39307199,3.535587865,39.78174928,34.01533281,19516.94952,389.065785,5,1.147950287,negative
8X8 INC,0001136261,10-000281,240,11,97,17.20445638,65.25789069,302.4621338,12.82650782,13,16.95616512,5.70304522,26.18152719,44.49424098,15744.36576,404.2637939,8,1.336576546,negative
8X8 INC,0001136261,11-000049,184,14,76,14.25588717,36.65530216,352.162456,35.49161371,19,16.70807615,3.087446566,23.28145921,26.14599912,12148.53342,414.0620946,8,1.175770124,negative
8X8 INC,0001136261,11-000433,165,14,76,11.21668983,64.1126087,418.7301533,56.0835478,50,15.33788251,3.243811979,20.14258031,24.67693153,15932.36003,503.3714663,6,1.202138089,negative
8X8 INC,0001136261,11-000558,297,12,67,29.06227719,4.174983404,321.5596553,94.45576355,11,20.30247011,3.535371897,23.07559647,41.76367336,10773.72366,647.6230956,6,2.014006064,negative
8X8 INC,0001136261,12-000046,167,11,73,17.136333,77.6850158,400.4733296,58.30058014,7,26.33495843,4.197288581,31.24148759,20.31956732,25181.76674,326.9326321,12,0.816365555,negative
8X8 INC,0001136261,12-000416,271,12,61,28.2331916,55.25132267,348.271072,72.26602487,49,19.11271151,5.253206507,31.11991978,21.83880299,27012.89932,194.6041206,5,0.558771992,negative
8X8 INC,0001136261,12-000563,244,11,99,25.24191588,75.55092898,425.7869045,85.28519188,38,35.94773217,6.503518875,26.48441506,22.84392844,29802.26987,161.8987738,8,0.380234272,negative
8X8 INC,0001136261,13-000050,190,12,99,12.11061731,17.36130991,434.5625996,87.77069375,25,15.66136881,3.223230324,15.92365711,42.51996183,10928.55043,629.983278,4,1.449695115,positive
8X8 INC,0001136261,13-000330,260,14,92,18.36307744,40.34697585,381.2573212,16.37133507,13,17.78544386,4.315587521,21.97531979,35.55242133,12871.55175,400.4902394,6,1.05044603,negative
8X8 INC,0001136261,13-000508,242,13,60,17.31813129,19.26388683,322.6279734,54.24847634,-19,25.61112222,4.374266798,25.4826921,32.19861033,22419.40511,442.3922234,12,1.371214711,negative
8X8 INC,0001136261,14-000037,195,13,69,23.37095276,72.12480773,311.723089,11.19197494,38,24.04010405,5.374035357,32.14989302,26.13265555,29430.33709,321.1615698,10,1.030278414,negative
8X8 INC,0001136261,14-000326,201,12,60,18.62007707,54.90251692,319.2592929,49.78868284,22,26.12562568,3.701037681,28.86050347,39.280107,29963.39195,498.3331205,6,1.560904041,negative
8X8 INC,0001136261,14-000441,235,11,98,18.75157474,14.92764416,439.892202,43.30477094,7,21.63295062,5.138048568,33.04086023,26.39174122,15572.45345,238.7349109,6,0.542712305,negative
8X8 INC,0001136261,15-000022,242,11,71,24.84346899,21.99326137,338.7514229,94.162302,-7,19.02237378,6.707224459,33.53510256,21.46004055,22663.97663,198.6976243,9,0.586558789,negative
8X8 INC,0001136261,15-000236,177,15,73,15.8977672,83.28568904,336.1171774,6.505995386,23,30.62910949,6.951902389,22.52079871,49.17111866,14760.65718,387.9029428,6,1.154070571,positive
8X8 INC,0001136261,15-000300,308,11,105,32.27709187,57.92993484,383.9486594,11.03561085,-15,20.39810904,5.852473765,33.50688761,36.32977535,16034.16175,330.0023031,5,0.859495912,negative
8X8 INC,0001136261,16-000381,200,13,95,18.66285311,3.059773818,341.9901797,20.64860702,-10,27.4200597,3.513124207,43.69152084,28.02647951,15954.60602,554.075442,12,1.620150153,positive
8X8 INC,0001136261,16-000571,169,10,91,17.3086614,23.21876191,322.1552724,25.80362681,15,38.95574372,3.284478391,25.98590035,22.88800903,25908.04652,356.6375415,8,1.107036178,negative
8X8 INC,0001136261,16-000648,179,11,103,19.83746107,3.836801113,441.2610078,24.46280541,12,27.82409994,3.880893501,37.86919393,32.1323223,16455.38862,465.0445214,8,1.053898969,positive
8X8 INC,0001136261,17-000025,220,14,91,20.22162409,17.9803133,343.0368074,69.91712572,32,26.14569428,3.560462542,35.58328945,30.56075185,25335.15022,382.5194228,9,1.115097315,negative
8X8 INC,0001136261,17-000162,286,12,79,32.04492229,70.78421452,442.7363434,28.03903143,7,39.01902036,4.557181799,37.92352218,33.32664392,25826.49326,497.9769049,9,1.124770786,negative
8X8 INC,0001136261,17-000248,217,12,72,15.07049687,41.08834401,316.7524259,6.736504542,15,20.04406097,4.077644921,22.54457172,34.72509297,14415.15821,406.402385,6,1.283028485,negative
8X8 INC,0001136261,18-000022,261,11,86,26.60572733,4.105098531,391.5622796,85.08749709,26,27.67132499,3.900974046,21.28505665,27.35556551,17624.49231,345.9071576,11,0.883402655,positive
8X8 INC,0001136261,18-000201,235,12,80,15.75834123,1.918795211,378.8846492,34.30078929,42,28.0627637,6.410739787,37.81419233,39.29625757,25457.1433,369.1536922,8,0.974316835,negative
8X8 INC,0001136261,18-000295,219,10,104,13.83950919,14.44842897,447.2270947,74.06373237,-11,44.24927895,5.967782847,20.16042465,26.45472014,25651.40875,244.6254041,6,0.546982522,positive
A10 NETWORKS INC,0001580808,15-000010,222,13,84,24.21066949,16.95957379,432.0192965,50.8881151,47,30.3844113,6.146673238,24.0666357,34.24392266,22951.99144,375.9154377,10,0.870135757,negative
A10 NETWORKS INC,0001580808,17-000013,136,10,73,10.95296436,84.35016521,320.6041581,73.99005162,19,44.97945709,4.059127902,37.30006314,23.60616544,12569.44156,303.0490531,8,0.945243676,positive
